Network,Station,lon [deg],lat [deg],P pick [s],P error [s],S pick [s],S error [s],RW period [s],RW pick [s],RW error [s]
II,KAPI,119.752, -5.014, 54.17, 0.69, 97.24, 6.39,   4.36,243.07,23.58
  ,    ,       ,      ,       ,     ,       ,     ,   5.68,180.87,10.62
  ,    ,       ,      ,       ,     ,       ,     ,  10.86,156.00,13.48
  ,    ,       ,      ,       ,     ,       ,     ,  14.43,133.19,19.69
  ,    ,       ,      ,       ,     ,       ,     ,  19.56,129.56,11.66
  ,    ,       ,      ,       ,     ,       ,     ,  25.99,120.24,14.77
  ,    ,       ,      ,       ,     ,       ,     ,  34.52,117.64,12.18
  ,    ,       ,      ,       ,     ,       ,     ,  51.78,118.68,13.99
  ,    ,       ,      ,       ,     ,       ,     ,  79.27,109.87,20.47
  ,    ,       ,      ,       ,     ,       ,     , 126.38,107.28,25.14
GE,MNAI,102.956, -4.361,269.02, 0.85,493.26,17.46,   8.52,760.04,24.72
  ,    ,       ,      ,       ,     ,       ,     ,  10.43,754.55,21.98
  ,    ,       ,      ,       ,     ,       ,     ,  12.27,729.83,32.96
  ,    ,       ,      ,       ,     ,       ,     ,  15.65,702.36,21.98
  ,    ,       ,      ,       ,     ,       ,     ,  18.79,680.38,15.11
  ,    ,       ,      ,       ,     ,       ,     ,  24.45,683.13,20.60
  ,    ,       ,      ,       ,     ,       ,     ,  33.14,663.90,31.59
  ,    ,       ,      ,       ,     ,       ,     ,  40.60,628.19,30.22
  ,    ,       ,      ,       ,     ,       ,     ,  53.92,617.20,24.72
  ,    ,       ,      ,       ,     ,       ,     ,  70.19,606.21,31.59
  ,    ,       ,      ,       ,     ,       ,     ,  87.73,595.23,41.20
  ,    ,       ,      ,       ,     ,       ,     , 111.90,589.73,53.57
  ,    ,       ,      ,       ,     ,       ,     , 151.68,584.24,105.76
GE,JAGI,114.152, -8.470,116.60, 0.91,207.98, 7.31,  10.22,362.40,10.90
  ,    ,       ,      ,       ,     ,       ,     ,  13.58,361.25,22.96
  ,    ,       ,      ,       ,     ,       ,     ,  19.17,317.63,11.48
  ,    ,       ,      ,       ,     ,       ,     ,  23.96,295.82,18.94
  ,    ,       ,      ,       ,     ,       ,     ,  29.95,269.42,16.07
  ,    ,       ,      ,       ,     ,       ,     ,  38.20,255.65,14.35
  ,    ,       ,      ,       ,     ,       ,     ,  55.03,249.91,20.66
  ,    ,       ,      ,       ,     ,       ,     ,  80.90,247.61,24.68
  ,    ,       ,      ,       ,     ,       ,     , 111.90,245.32,47.06
