Network,Station,lon [deg],lat [deg],P pick [s],P error [s],S pick [s],S error [s],RW period [s],RW pick [s],RW error [s]
St,TTL3,125.737, -2.566,147.78, 7.38,223.69, 8.40,   7.95,389.28,83.18
  ,    ,       ,      ,       ,     ,       ,     ,  11.19,315.73,42.03
  ,    ,       ,      ,       ,     ,       ,     ,  14.75,323.61,32.40
  ,    ,       ,      ,       ,     ,       ,     ,  18.94,289.46,45.09
  ,    ,       ,      ,       ,     ,       ,     ,  23.07,250.06,11.38
  ,    ,       ,      ,       ,     ,       ,     ,  29.61,255.32,18.39
  ,    ,       ,      ,       ,     ,       ,     ,  36.54,244.81,23.20
  ,    ,       ,      ,       ,     ,       ,     ,  73.35,222.04,38.53
St,TTL5,121.500,  8.010,276.41, 8.64,452.88,15.54,   7.25,799.44,170.43
  ,    ,       ,      ,       ,     ,       ,     ,   9.81,693.88,36.28
  ,    ,       ,      ,       ,     ,       ,     ,  11.95,693.88,19.79
  ,    ,       ,      ,       ,     ,       ,     ,  16.39,663.10,53.88
  ,    ,       ,      ,       ,     ,       ,     ,  19.70,614.72,59.37
  ,    ,       ,      ,       ,     ,       ,     ,  23.68,583.93,17.59
  ,    ,       ,      ,       ,     ,       ,     ,  26.31,581.73,20.89
  ,    ,       ,      ,       ,     ,       ,     ,  32.89,575.14,17.59
  ,    ,       ,      ,       ,     ,       ,     ,  39.03,557.54,27.49
  ,    ,       ,      ,       ,     ,       ,     ,  46.30,544.35,21.99
  ,    ,       ,      ,       ,     ,       ,     ,  62.65,517.96,41.78
  ,    ,       ,      ,       ,     ,       ,     , 176.98,500.37,76.97
St,TTL4,143.691,  5.957,376.35,35.37,657.69,49.51,        ,       ,     
St,TTL4,143.171, -5.803,340.28,22.23,580.35,38.53,        ,       ,     
